Term,Subject,Number,CCN,Title,Type,Section#,Instructor,Meeting Times,Rejected Student Cnt,Enrollment Limit,Waitlist Limit Cnt,Enrollment Cnt,% Class Filled,% Class Filled,Waitlist Cnt,Include Sb Week Desc
2018 Spring,Computer Science,9A,35350,Programmers' Matlab,Self-paced,1,Carol Marshall; Paul Hilfinger,12:00a-12:00a,23,10,100,8,80,80,0,Week 04
2018 Spring,Computer Science,9C,35351,Programmers' C,Self-paced,1,Carol Marshall; Paul Hilfinger,12:00a-12:00a,7,11,100,11,100,100,0,Week 04
2018 Spring,Computer Science,9E,35352,Productive Unix Use,Self-paced,1,Carol Marshall; Paul Hilfinger,12:00a-12:00a,25,36,100,36,100,100,0,Week 04
2018 Spring,Computer Science,9F,35353,Programmers' C++,Self-paced,1,Carol Marshall; Paul Hilfinger,12:00a-12:00a,22,38,100,33,86.84211,86.84211,0,Week 04
2018 Spring,Computer Science,9G,35354,Programmers' Java,Self-paced,1,Carol Marshall; Paul Hilfinger,12:00a-12:00a,8,12,100,11,91.66667,91.66667,0,Week 04
2018 Spring,Computer Science,9H,35355,Programmers' Python,Self-paced,1,Carol Marshall; Paul Hilfinger,12:00a-12:00a,32,40,100,33,82.5,82.5,0,Week 04
2018 Spring,Computer Science,10,35356,Beauty Joy Computng,Lecture,1,Daniel Garcia,Mon Wed 01:00p-01:59p,222,175,80,157,89.71429,89.71429,1,Week 04
2018 Spring,Computer Science,24,42027,Freshman Seminars,Seminar,1,Brian Barsky,Fri 12:00p-01:59p,11,5,10,3,60,60,0,Week 04
2018 Spring,Computer Science,36,41831,Cs Scholars Seminar,Seminar,1,Christopher Hunn,Mon 04:00p-05:59p,37,30,10,33,110,110,0,Week 04
2018 Spring,Computer Science,47A,35368,Interp Comp Progs,Self-paced,1,John DeNero,12:00a-12:00a,10,20,20,4,20,20,1,Week 04
2018 Spring,Computer Science,47B,35369,Supl Data Structure,Self-paced,1,Carol Marshall; Paul Hilfinger,12:00a-12:00a,14,30,20,12,40,40,0,Week 04
2018 Spring,Computer Science,47C,35370,Supl Mach Structure,Self-paced,1,Paul Hilfinger,12:00a-12:00a,3,20,20,2,10,10,0,Week 04
2018 Spring,Computer Science,61A,35371,Str Interp Cmp Prgs,Lecture,1,John DeNero,Mon Wed Fri 02:00p-02:59p,1015,1400,800,1210,86.42857,86.42857,0,Week 04
2018 Spring,Computer Science,W61A,41759,Str Interp Cmp Prgs,Web-Based Lecture,UC01,John DeNero,Mon Wed Fri 02:00p-02:59p,,1,0,8,800,800,0,Week 04
2018 Spring,Computer Science,61B,35432,Data Structures,Lecture,1,Joshua Hug,Mon Wed Fri 03:00p-03:59p,1042,1450,400,1379,95.10345,95.10345,0,Week 04
2018 Spring,Computer Science,61C,35501,Machine Structures,Lecture,1,Dylan Dreyer; John Wawrzynek; Nicholas Weaver; Peijie Li,Tue Thu 03:30p-04:59p,433,595,300,514,86.38655,86.38655,0,Week 04
2018 Spring,Computer Science,70,35526,Discrete Math&Prob,Lecture,1,Babak Ayazifar; Satish Rao,Tue Thu 12:30p-01:59p,441,875,400,812,92.8,92.8,0,Week 04
2018 Spring,Computer Science,88,41565,Cs Struct Data Sci,Lecture,1,Gerald Friedland,Fri 12:00p-12:59p,211,140,60,129,92.14286,92.14286,0,Week 04
2018 Spring,Computer Science,97,16942,Field Study,Field Work,1,Paul Hilfinger,12:00a-12:00a,,15,15,3,20,20,0,Week 04
2018 Spring,Computer Science,97,16947,Field Study,Field Work,205,John DeNero,12:00a-12:00a,3,250,125,132,52.8,52.8,0,Week 04
2018 Spring,Computer Science,C100,37227,Princ&Tech Data Sci,Lecture,1,Fernando Perez; Joseph Gonzalez,Tue Thu 11:00a-12:29p,694,650,300,610,93.84615,93.84615,2,Week 04
2018 Spring,Computer Science,152,40907,Comp Arch & Eng,Lecture,1,Krste Asanovic,Mon Wed 02:30p-03:59p,71,48,40,40,83.33333,83.33333,0,Week 04
2018 Spring,Computer Science,160,35573,User Interfaces,Lecture,1,Bjorn Hartmann,Tue Thu 09:30a-10:59a,551,90,200,91,101.1111,101.1111,0,Week 04
2018 Spring,Computer Science,161,35582,Computer Security,Lecture,1,Raluca Popa,Tue Thu 12:30p-01:59p,610,641,280,602,93.91576,93.91576,1,Week 04
2018 Spring,Computer Science,162,35596,Op Sys And Sys Prog,Lecture,1,Anthony Joseph; Jonathan Ragan-Kelley,Mon Wed 06:30p-07:59p,480,403,300,389,96.52605,96.52605,0,Week 04
2018 Spring,Computer Science,164,35607,Prog Lang And Comp,Lecture,1,Paul Hilfinger,Mon Wed Fri 11:00a-11:59a,191,157,128,134,85.35032,85.35032,0,Week 04
2018 Spring,Computer Science,170,35612,Intro Cs Theory,Lecture,1,Alessandro Chiesa; Umesh Vazirani,Tue Thu 03:30p-04:59p,631,629,350,629,100,100,28,Week 04
2018 Spring,Computer Science,174,41754,Comb And Disc Prob,Lecture,1,Eric Friedman,Mon Wed 04:00p-05:29p,107,45,40,40,88.88889,88.88889,0,Week 04
2018 Spring,Computer Science,184,35627,Computer Graphics,Lecture,1,Yi-Ren Ng,Mon Wed Fri 02:00p-02:59p,336,180,160,179,99.44444,99.44444,9,Week 04
